F&I deals,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Total
CO, 10 , 5 , 8 , 12 , 18 , 15 , 9 , 9 , 6 , 2 , 7 , 1 , 8 , 3 , 6 , 10 , 11 , 7 , 12 , 13 , 5 , 3 , 9 , 4 , 12 , 11 , 5 , 12 , 25 , 22 , 20 , 9 , 3 , 3 , 2 , 5 , 12 , 10 , 10 , 13 , 18 , 11 , 6 , 1 , 5 , 6 , 5 , 10 , 12 , 10 , 10 , 8 , 8 , 11 , 9 , 7 , 3 , 3 , 6 , 5 , 8 , 7 , 3 , 539 
DT, -   , 3 , 11 , 12 , 21 , 9 , 5 , 5 , 2 , 3 , 7 , 5 , 2 , 5 , 6 , 8 , 13 , 8 , 7 , 7 , 6 , 5 , 3 , 3 , 5 , 9 , 10 , 7 , 18 , 17 , 15 , 10 , 4 , 7 , 2 , 6 , 8 , 6 , 15 , 10 , 11 , 4 , 3 , 4 , 5 , 7 , 5 , 4 , 7 , 7 , 13 , 5 , 6 , 11 , 2 , 1 , 2 , 1 , 2 , 2 , 2 , 2 , 2 , 413 
FL, 3 , 2 , 8 , 7 , 4 , 6 , 9 , 8 , 3 , 2 , 2 , 3 , 5 , 3 , 7 , 9 , 7 , 14 , 4 , 3 , 3 , 2 , 3 , 4 , 8 , 1 , 12 , 10 , 30 , 22 , 16 , 8 , 9 , 8 , 6 , 5 , 7 , 7 , 18 , 22 , 19 , 15 , 10 , 3 , 3 , 17 , 3 , 8 , 5 , 4 , 8 , 22 , 10 , 9 , 3 , 9 , 3 , 8 , 10 , 6 , 1 , 3 , 10 , 499 
GR, 1 , -   , 3 , 3 , 5 , 7 , 3 , 1 , 1 , 3 , 1 , 2 , -   , 7 , 2 , 2 , 1 , 3 , 2 , 3 , -   , -   , -   , 2 , -   , 4 , 1 , 4 , 5 , 11 , 7 , 4 , 1 , 3 , -   , 3 , 2 , 2 , 10 , 4 , 5 , 5 , 3 , 1 , 4 , 3 , -   , 3 , 3 , 4 , 1 , 1 , 1 , 2 , 1 , 2 , 1 , 3 , 2 , -   , -   , 1 , 2 , 161 
MI, -   , -   , -   , 1 , -   , 1 , 1 , 3 , 1 , -   , 2 , -   , 1 , 4 , 1 , 6 , 1 , 1 , 4 , -   , 1 , -   , 2 , 1 , -   , 1 , -   , 3 , 6 , 2 , 5 , 1 , 1 , -   , -   , 2 , -   , 3 , 7 , 5 , 6 , 1 , 3 , 3 , 2 , 3 , -   , 1 , 4 , 3 , 2 , 2 , 2 , 2 , 1 , 4 , 1 , 1 , 1 , 2 , -   , 3 , 3 , 117 
LV, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 18 , 13 , 10 , 11 , 5 , 5 , 3 , 6 , 3 , 9 , 9 , 8 , 9 , 7 , 6 , 10 , 6 , 11 , 2 , 1 , 2 , 2 , 2 , 2 , 8 , 179 
CC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , 4 , 2 , 6 , -   , 1 , 6 , 3 , -   , 2 , 1 , 8 , 6 , 1 , 5 , 4 , 1 , 3 , 2 , 5 , 4 , 2 , 4 , 4 , 79 
PX, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 , 10 , 27 , 12 , 15 , 9 , 6 , 3 , 8 , 8 , 6 , 8 , 7 , 10 , 17 , 7 , 12 , 7 , 5 , 3 , 2 , 2 , 5 , 4 , 5 , 6 , 213 
FR, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , 5 , 3 , 2 , 3 , 1 , 1 , -   , -   , -   , -   , 2 , 1 , 2 , 2 , 3 , 3 , 4 , 1 , -   , -   , -   , -   , 1 , -   , 1 , 42 
CH, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , -   , 5 , 4 , 8 , 9 , 5 , 4 , 1 , 2 , 6 , -   , -   , 1 , 1 , 2 , 5 , 2 , 58 
KX, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 4 , 3 , 2 , 3 , 7 , 4 , 2 , 1 , -   , 1 , 3 , -   , 1 , -   , 2 , 37 
LW, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16 , 21 , 14 , 14 , 17 , 6 , 2 , 2 , 5 , 10 , 8 , 4 , 7 , 126 
FW, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 4 , 6 , 7 , 5 , 4 , 3 , 1 , 2 , 3 , -   , -   , 2 , 3 , 41 
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , 1 , 1 , 1 
ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , 1 , -   
, 14 , 10 , 30 , 35 , 48 , 38 , 27 , 26 , 13 , 10 , 19 , 11 , 16 , 22 , 22 , 35 , 33 , 33 , 29 , 26 , 15 , 10 , 17 , 14 , 25 , 26 , 28 , 36 , 84 , 74 , 63 , 32 , 18 , 21 , 10 , 21 , 29 , 55 , 95 , 100 , 87 , 67 , 46 , 24 , 27 , 59 , 27 , 49 , 60 , 57 , 94 , 105 , 76 , 89 , 62 , 57 , 21 , 26 , 42 , 37 , 31 , 39 , 55 ," 2,504 "
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
, 14 , 24 , 54 , 89 , 137 , 175 , 202 , 228 , 241 , 251 , 270 , 281 , 16 , 38 , 60 , 95 , 128 , 161 , 190 , 216 , 231 , 241 , 258 , 272 , 25 , 51 , 79 , 115 , 199 , 273 , 336 , 368 , 386 , 407 , 417 , 438 , 29 , 84 , 179 , 279 , 366 , 433 , 479 , 503 , 530 , 589 , 616 , 665 , 60 , 117 , 211 , 316 , 392 , 481 , 543 , 600 , 621 , 647 , 689 , 726 , 31 , 70 , 125 ,
YTD %,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,