Total Deals,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Total
CO,12,14,14,25,31,27,18,11,11,8,13,7,19,9,11,27,22,17,21,21,12,8,14,8,19,17,7,24,37,49,30,16,9,6,13,11,15,18,25,29,35,22,6,3,10,6,11,13,22,17,22,13,13,14,15,13,4,7,11,12,12,9,7, 995 
DT,0,4,25,22,45,37,15,18,19,9,22,32,16,19,29,31,38,30,20,18,15,16,7,10,16,22,22,19,38,56,48,23,16,13,15,16,17,18,39,29,33,17,18,9,16,20,20,9,18,23,34,15,27,34,9,9,5,7,14,6,8,14,16," 1,269 "
FL,11,11,21,12,14,15,17,11,7,6,12,15,11,10,14,15,12,23,15,10,9,11,8,7,11,11,23,19,46,37,30,23,22,17,12,14,21,19,44,45,30,22,23,8,17,28,15,12,14,15,16,35,23,20,11,19,5,23,17,11,4,9,15," 1,068 "
GR,5,10,9,7,14,14,12,8,3,6,4,8,4,14,12,16,11,8,13,7,3,5,2,7,7,8,8,10,16,29,18,9,5,5,2,6,4,9,25,13,11,9,5,4,7,6,6,5,10,7,10,7,6,7,7,7,5,10,9,6,4,2,8, 526 
MI,4,4,6,5,15,9,10,8,4,8,8,2,4,5,3,9,7,7,9,9,3,4,13,5,4,10,6,5,11,14,19,9,9,7,5,15,7,17,30,12,7,8,7,10,12,12,13,12,7,7,8,8,9,10,7,13,22,19,19,7,6,12,11, 576 
LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,32,26,18,21,13,11,6,4,11,7,9,9,18,12,10,15,10,11,5,2,6,7,2,8,10, 296 
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4, 11 
PX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,26,42,21,24,12,7,7,14,18,6,15,16,22,18,12,17,11,13,3,2,5,9,5,10,10, 364 
FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,6,2,3,3,3,0,0,0,0,2,1,2,4,2,4,5,3,0,1,0,0,1,0,1, 55 
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,2,8,7,12,18,17,15,9,12,6,0,2,2,3,4,10,7, 140 
KX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6,9,5,8,5,13,12,14,5,5,1,1,5,7,4,2,8, 112 
LW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,45,44,33,43,23,14,4,5,8,13,12,18,9, 279 
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,10,12,7,6,3,4,4,1,2,3,7, 72 
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5, 8 
ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2, -   